"SeatIndex","STATE","CONSTITUENCY","NAME","WINNER","PARTY","SYMBOL","GENDER","CRIMINAL.CASES","AGE","CATEGORY","EDUCATION","ASSETS","LIABILITIES","GENERAL.VOTES","POSTAL.VOTES","TOTAL.VOTES","OVER.TOTAL.ELECTORS..IN.CONSTITUENCY","OVER.TOTAL.VOTES.POLLED..IN.CONSTITUENCY","TOTAL.ELECTORS"
372,"Telangana","NALGONDA","UTTAM KUMAR REDDY NALAMADA",1,"INC","Hand","MALE",0,55,"GENERAL","Graduate","Rs 3,15,01,349
 ~ 3 Crore+","Rs 12,00,000
 ~ 12 Lacs+",525508,520,526028,33.16737916,44.73088069,1585980
373,"Tamil Nadu","NAMAKKAL","CHINRAJ A.K.P",1,"DMK","Rising Sun","MALE",0,54,"GENERAL","Graduate","Rs 48,52,05,173
 ~ 48 Crore+","Rs 1,86,42,484
 ~ 1 Crore+",623370,2923,626293,44.3048559,55.22943886,1413599
374,"Maharashtra","NANDED","Prataprao Patil Chikhalikar",1,"BJP","Lotus","MALE",0,57,"GENERAL","12th Pass","Rs 5,21,78,606
 ~ 5 Crore+","Rs 5,94,000
 ~ 5 Lacs+",482148,4658,486806,28.31383534,43.1006975,1719322
375,"Maharashtra","NANDURBAR","Dr. Heena Vijaykumar Gavit",1,"BJP","Lotus","FEMALE",0,31,"ST","Post Graduate","Rs 27,16,34,532
 ~ 27 Crore+","Rs 1,52,91,251
 ~ 1 Crore+",637226,1910,639136,34.15832086,49.7557892,1871099
376,"Andhra Pradesh","NANDYAL","POCHA . BRAHMANANDA REDDY",1,"YSRCP","Ceiling Fan","MALE",0,60,"GENERAL","Post Graduate","Rs 58,59,32,911
 ~ 58 Crore+","Rs 17,70,35,582
 ~ 17 Crore+",715024,5864,720888,44.96500792,55.46209565,1603220
377,"Andhra Pradesh","NARASARAOPET","LAVU SRI KRISHNA DEVARAYALU",1,"YSRCP","Ceiling Fan","MALE",0,35,"GENERAL","Graduate Professional","Rs 17,77,10,073
 ~ 17 Crore+","Rs 1,01,42,413
 ~ 1 Crore+",740509,5048,745557,44.63368158,51.74848619,1670391
378,"Andhra Pradesh","NARSAPURAM","KANUMURU RAGHU RAMA KRISHNA RAJU",1,"YSRCP","Ceiling Fan","MALE",0,57,"GENERAL","Post Graduate","Rs 3,25,94,05,378
 ~ 325 Crore+","Rs 1,01,44,67,354
 ~ 101 Crore+",444376,4858,449234,31.20350131,38.09773381,1439691
379,"Maharashtra","NASHIK","Godse Hemant Tukaram",1,"SHS","Bow and Arrow","MALE",0,48,"GENERAL","Others","Rs 14,68,69,996
 ~ 14 Crore+","Rs 4,10,83,126
 ~ 4 Crore+",562034,1565,563599,29.89813608,50.22752145,1885064
380,"Gujarat","NAVSARI","C. R. Patil",1,"BJP","Lotus","MALE",0,64,"GENERAL","10th Pass","Rs 44,60,44,269
 ~ 44 Crore+","Rs 5,68,46,658
 ~ 5 Crore+",969430,3309,972739,49.33609176,74.29821667,1971658
381,"Bihar","NAWADA","Chandan Singh",1,"LJP","Bungalow","MALE",0,36,"GENERAL","Graduate","Rs 17,67,20,167
 ~ 17 Crore+","Rs 47,22,200
 ~ 47 Lacs+",491956,3728,495684,26.09210595,52.47049035,1899747
382,"Andhra Pradesh","NELLORE","Adala Prabhakara Reddy",1,"YSRCP","Ceiling Fan","MALE",0,70,"GENERAL","12th Pass","Rs 2,21,16,63,364
 ~ 221 Crore+","Rs 15,22,81,255
 ~ 15 Crore+",677014,6816,683830,40.87826427,53.04457705,1672845
